"Product Code",Vendor,"Product Name","Service Name",Color,Tags,"Link Url",Stock,"Print Area","Freight Description","Individual Product Packaging","Standard Production Time",Size,"Quantity Break Point 1","Quantity Break Point Price 1","Quantity Break Point 2","Quantity Break Point Price 2","Quantity Break Point 3","Quantity Break Point Price 3","Quantity Break Point 4","Quantity Break Point Price 4",Brand,"Parent Product Code",Category,"Sub Category",Description,"Primary Price Description","Carton Height","Carton Width","Carton Depth","Carton Weight","Qty Per Carton","Carton Cubic","Carton Notes","Decoration Name0",decoration_additional_0_qty_0,decoration_additional_0_price_0,decoration_additional_0_qty_1,decoration_additional_0_price_1,"Decoration 0 Setup Notes","Decoration 0 Setup Cost 0"
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","Express 24 Hours Service","Light Silver","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",100,2.95,1000,2.22,5000,1.65,10000,1.15,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","Express 24 Hours Service","Dark Silver","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",100,2.95,1000,2.22,5000,1.65,10000,1.15,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","Express 24 Hours Service","Black Alloy","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",100,2.95,1000,2.22,5000,1.65,10000,1.15,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","10 Day Standard","Light Silver","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",100,2.55,1000,1.95,5000,1.4,10000,0.95,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","10 Day Standard","Dark Silver","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",100,2.55,1000,1.95,5000,1.4,10000,0.95,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","10 Day Standard","Black Alloy","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",100,2.55,1000,1.95,5000,1.4,10000,0.95,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","Indent 12 Weeks","Light Silver","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",1000,0.95,10000,0.85,50000,0.75,100000,0.72,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","Indent 12 Weeks","Dark Silver","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",1000,0.95,10000,0.85,50000,0.75,100000,0.72,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
"1003Light Silver",Example,"Example KEYCHAIN with prices based on different delivery times","Indent 12 Weeks","Black Alloy","Best Seller",,,"Front 5 x 3cm, Back 5 x 3cm",,"Items are supplied in a cardboard deluxe giftbox.",,"6 x 4 x 0.5cm",1000,0.95,10000,0.85,50000,0.75,100000,0.72,"Example Brand",EX1003,Keychains,,"This is the example keychain. Delete this product at any time. This keychain has multiple levels of service, whereby the price will change depending on the delivery timeframe.",,50cm,12kg,25cm,12kg,500,16kg,,"Laser Engraving 5 x 3cm max size",100,0.55,1000,0.45,,100
1001Red,Example,"Example PEN Where Vendor Also Decorates",Standard,Red,"Budget Item",,,,,"Items come in a cardboard box",,"12.7cm x 1.1cm",500,1.95,1000,1.90,5000,1.65,10000,1.20,"Example Brand",EX1002,Pens,,"This is the example pen. Delete this product at any time. This pen has decorations directly linked to this product. Check them out.",,50cm,40cm,25cm,12kg,500,16kg,,"1 Colour, 1 Position Imprint",500,0.15,1000,0.13,"Additional positions are charged at 0.15ea",25
1001Red,Example,"Example PEN Where Vendor Also Decorates",Standard,Blue,"Budget Item",,,,,"Items come in a cardboard box",,"12.7cm x 1.1cm",500,1.85,1000,1.8,5000,1.65,10000,1.20,"Example Brand",EX1002,Pens,,"This is the example pen. Delete this product at any time. This pen has decorations directly linked to this product. Check them out.",,50cm,40cm,25cm,12kg,500,16kg,,"1 Colour, 1 Position Imprint",500,0.15,1000,0.13,"Additional positions are charged at 0.15ea",25
1001Red,Example,"Example PEN Where Vendor Also Decorates",Standard,Yellow,"Budget Item",,,,,"Items come in a cardboard box",,"12.7cm x 1.1cm",500,1.85,1000,1.8,5000,1.65,10000,1.20,"Example Brand",EX1002,Pens,,"This is the example pen. Delete this product at any time. This pen has decorations directly linked to this product. Check them out.",,50cm,40cm,25cm,12kg,500,16kg,,"1 Colour, 1 Position Imprint",500,0.15,1000,0.13,"Additional positions are charged at 0.15ea",25
1001Red,Example,"Example PEN Where Vendor Also Decorates",Standard,Clear,"Budget Item",,,,,"Items come in a cardboard box",,"12.7cm x 1.1cm",500,1.85,1000,1.8,5000,1.65,10000,1.20,"Example Brand",EX1002,Pens,,"This is the example pen. Delete this product at any time. This pen has decorations directly linked to this product. Check them out.",,50cm,40cm,25cm,12kg,500,16kg,,"1 Colour, 1 Position Imprint",500,0.15,1000,0.13,"Additional positions are charged at 0.15ea",25
1001Red,Example,"Example PEN Where Vendor Also Decorates",Standard,Black,"Budget Item",,,,,"Items come in a cardboard box",,"12.7cm x 1.1cm",500,1.85,1000,1.8,5000,1.65,10000,1.15,"Example Brand",EX1002,Pens,,"This is the example pen. Delete this product at any time. This pen has decorations directly linked to this product. Check them out.",,50cm,40cm,25cm,12kg,500,16kg,,"1 Colour, 1 Position Imprint",500,0.15,1000,0.13,"Additional positions are charged at 0.15ea",25
1001Red,Example,"Example PEN Where Vendor Also Decorates",Standard,Green,"Budget Item",,,,,"Items come in a cardboard box",,"12.7cm x 1.1cm",500,1.85,1000,1.8,5000,1.65,10000,1.15,"Example Brand",EX1002,Pens,,"This is the example pen. Delete this product at any time. This pen has decorations directly linked to this product. Check them out.",,50cm,40cm,25cm,12kg,500,16kg,,"1 Colour, 1 Position Imprint",500,0.15,1000,0.13,"Additional positions are charged at 0.15ea",25
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Black,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Red,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Yellow,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",White,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Blue,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Navy,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Royal,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Pink,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","10 Days",Fuschia,,,,,,,,"One Size",1,1,1000,0.8,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Black,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Red,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Yellow,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",White,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Blue,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Navy,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Royal,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Pink,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
5643,"Example Vendor","20mm Lanyard Deluxe","12 Week",Fuschia,,,,,,,,"One Size",1000,0.55,10000,0.43,,,,,"Lanyardds R Us",,Lanyards,,"Deluxe 20mm lanyard available in 60 colours",,40,40,50,18,5000,,,"Screen Printing 1 Colour/Position",1,0.15,,,,50
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Saturn,,,,,,,,S,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Saturn,,,,,,,,M,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Saturn,,,,,,,,L,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Saturn,,,,,,,,XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Saturn,,,,,,,,2XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Eternity,,,,,,,,S,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Eternity,,,,,,,,M,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
